artist_id,artist_name,followers,popularity,genres,num_genres
6D5qrT7NQXcdvFTtCJNszl,Kelpe,31232,27,idm,1
13CLZBR9RbwxLXRyh5m3MC,Greg Maroney,26297,44,new age,1
2YohShuz0Lf4i09lImCR5r,Georg Erixon,5512,50,,0
0Z7qVrRll0xvdJ68DX0O0b,Casuarina,109233,55,"samba, mpb, pagode",3
2yQf6b8hxahZaT5dHlWaB1,Raekwon,642302,65,"east coast hip hop, hardcore hip hop, hip hop, boom bap",4
6FU6gwUc2OBtUA6TVQLo6C,Borrtex,37225,59,,0
46zuW8tHxwahYn7VNMgYTa,Yalın,1960706,71,"turkish pop, t-pop",2
1ZN1c1qWEGZNX1pGeKCPpf,Billy Strings,515742,65,"bluegrass, newgrass, americana",3
4BqZuFqHJ8CLn3ig0f1m0G,Paul Johnson,37572,46,"chicago house, disco house, funky house",3
7nqpEU6DCHkNtK1bYsyS3W,Kerri Chandler,110970,55,"house, chicago house, deep house, jazz house",4
1ikID9RZZMvkuBGDWrqajq,Kasbo,167486,53,future bass,1
7r7msCm1sJiCUv2FxarTUF,Preschool Popstars,7176,12,,0
7KyaSSJ8uTv7Unev4z2Qc7,Kelly Chen,222693,50,"cantopop, mandopop, c-pop",3
2TX49iaYgV8gRIyRw6Nx81,Secede,10593,29,"idm, ambient",2
0LgrViZrCyMgg5MfTc33bd,EDDIE,25372,43,,0
5tYqFEuFELxnJZgGmmsfSh,Catz 'n Dogz,67139,44,"tech house, house",2
1nmKYy6efdYl8sIcT0gCLJ,Anumita Nadesan,78910,58,"indian indie, hindi indie",2
3qAPxVwIQRBuz5ImPUxpZT,Heroes Del Silencio,2842149,69,"rock en español, latin rock, mexican rock, latin alternative",4
1BuKBdhjA2GxwmbcYo4Jnl,Scan 7,7537,18,chicago house,1
4KDxYlnGZEiS60pAnfZf4W,Avine Vinny,879340,55,"piseiro, forró, sertanejo, arrocha, sertanejo universitário",5
34PPy9Ut9m8qB8BnmCiVmO,Mortician,209448,47,"death metal, grindcore",2
6cA0eTMEit4fD6ZbTNoG4p,Tre Oh Fie,10751,38,"jersey club, baltimore club, philly club",3
4Uv5bceTJ2h3tLlssUNDNP,Attila,513252,53,"deathcore, metalcore, rap metal, metal, screamo",5
5k3NfhEeZHpouIGDpjKOPo,Shiro SAGISU,234308,64,"anime, soundtrack",2
7aKABlGTdOJkSML40kD64b,Jacob's Piano,104476,53,,0
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,1014385,63,,0
6bmlMHgSheBauioMgKv2tn,Powfu,1418576,70,,0
0hEurMDQu99nJRq8pTxO14,John Mayer,6170382,78,singer-songwriter,1
5BcEbeQq5n2fz8HbhI9CWU,Emile Pandolfi,35529,49,,0
7CJ5prpDDWaHikGuB97LwG,KAQRIYOTERROR,24560,38,"j-rock, visual kei",2
5QySqc6yAFDx9m7fedFZmC,Brennan Heart,329995,63,"hardstyle, frenchcore, hardcore",3
3HeBpt2YKFCmAC6n3JtlXI,Gene Karz,2304,11,"hard techno, acid techno, techno",3
72PnPUc1qv9UjRPaGVZ1jq,The Handsome Family,147873,54,"gothic country, alt country, americana",3
4n31svBA9GGIYxGxgrQaRK,George Thorogood & The Destroyers,981859,60,"classic rock, blues rock, southern rock",3
1eNxt1JI2Bgjl8bPDQ5sG8,Dan Tyminski,51766,51,"bluegrass, newgrass",2
41vebFiEyxaRwT7rNmRLpq,Ragga Twins,40141,48,"jungle, drum and bass, uk garage, ragga, bassline, dubstep",6
2EQphX0SGBPXvRWS7DUyu1,Vitor Limma,32826,61,"pagode, samba",2
3JFsVIxOn7STeilPICkkB2,Lamb of God,2223493,65,"groove metal, metal, heavy metal, nu metal, death metal, metalcore",6
26dSoYclwsYLMAKD3tpOr4,Britney Spears,16615983,83,pop,1
0wEvWMQRqaXcgnrZv6KtyL,Spice,550408,62,"dancehall, soca, shatta, ragga",4
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,40563657,82,,0
7g56xCsozigPH5OgmwinYA,Ocean Sounds,36940,66,,0
6ns6XAOsw4B0nDUIovAOUO,GZA,607851,61,"east coast hip hop, hip hop, boom bap",3
0xuL8l2qakTAyURbZb1gtc,Ara Johari,151505,52,"malay, malay pop, malaysian pop, malay rap",4
5eIbEEQnDM8yuDVB0bimSP,RL Grime,437147,63,"edm trap, future bass, edm",3
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,3187985,77,,0
1tGLEVy901arulIovZtdLc,Luan Estilizado,856125,56,"forró, piseiro, seresta, arrocha, forro tradicional, brega, sertanejo",7
0New046QPZ5XWHSKM6Rh24,Shaver,1604,19,,0
4hUZ0kTLN1A2rlaxQu6m5R,Klavdiya Shulzhenko,3876,21,,0
1oH2B8tcHn4Gpl2bmmyd4A,La Santa Grifa,8046015,77,"mexican hip hop, latin hip hop, sad sierreño",3
765Uc7WYPBWIgGERo03GKR,Skool Of Thought,8864,35,"jungle, breakbeat, dub",3
6olE6TJLqED3rqDCT0FyPh,Nirvana,22013696,84,"grunge, rock",2
04L8hbMJRQ5vFnLeDgA8xn,Die Apokalyptischen Reiter,76497,41,"medieval metal, folk metal, medieval, metal",4
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,861304,73,,0
4FXGRMSHh2JjHxVwS8dhH1,Virtual Riot,353568,59,"dubstep, riddim, deathstep, bass music, future bass, edm, drumstep, dub",8
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,5867693,86,"reggaeton chileno, chilean trap, chilean mambo, reggaeton",4
5RPzPJCg4ER1LzQkorZ31p,Worakls,359604,56,"minimal techno, melodic techno, electro",3
3maDQKNIwvbtAglSmYGhCo,DJ Cashi,2949,48,"schlagerparty, schlager",2
25s9H1JQmTu3iuFzpXWUIg,Stephan Moccio,55442,61,,0
5hIClg6noTaCzMu2s5wp4f,Carl Perkins,187101,45,"rockabilly, rock and roll",2
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,6379546,80,"metalcore, emo, screamo, rock, post-hardcore, metal",6
3bcLBxvaI7GsBzGp3WHnwQ,Nickel Creek,197568,48,"bluegrass, newgrass, folk, americana",4
5r9uIJCoquVtEkCkvcn8Ez,Get Scared,757216,59,"emo, metalcore, post-hardcore",3
0tbuVFxbrGx2oiNbpetUGc,Underground Resistance,51208,24,"techno, acid house, acid techno",3
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,1691906,62,,0
6jZbQXvNtDjnj18yoHMuvi,Jeremy Riddle,303165,58,"worship, christian",2
7GaxyUddsPok8BuhxN6OUW,James Brown,2265410,65,"soul, motown, funk",3
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,223833,64,"classical, requiem, classical piano",3
2wX6xSig4Rig5kZU6ePlWe,KSHMR,1777145,65,"big room, edm, electronica, slap house",4
3B9O5mYYw89fFXkwKh7jCS,TK from Ling tosite sigure,494439,61,"anime, j-rock, j-pop",3
6KBBZNl476lte4ccHqLFKz,Sex Prisoner,16078,25,"grindcore, hardcore punk, hardcore, sludge metal",4
6WvDtNFHOWHfiNy8NVHujT,Maldita Vecindad Y Los Hijos Del 5to. Patio,1274567,61,"rock en español, ska, mexican rock, mexican ska, latin rock, rock urbano",6
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,10806689,75,christmas,1
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,15423029,79,"classic rock, rock, hard rock, rock and roll",4
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,683526,66,,0
2UqjDAXnDxejEyE0CzfUrZ,Robert Schumann,598850,65,"classical piano, classical, chamber music",3
77puYb4Nubacm3PAzkY1UQ,Julian Sommer,109799,62,"schlagerparty, schlager",2
4pJCawaKSZ40EnxN0YEYw3,Badfinger,430778,53,"power pop, jangle pop",2
5Hsv8dUHHOdnn72q4XIVz7,Leiva,815067,71,,0
2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,1199541,68,dancehall,1
6deZN1bslXzeGvOLaLMOIF,Nickelback,7525256,81,"post-grunge, rock",2
3uGrMgq7tseqZq7FCjMGnW,Toddler Tunes,45313,57,"children's music, lullaby",2
3PV11RNUoGfX9tMN2wVljB,Hacken Lee,530473,53,"cantopop, c-pop, mandopop",3
13ZEDW6vyBF12HYcZRr4EV,Tyler Childers,2892033,79,"country, red dirt, alt country, texas country, bluegrass",5
02DWGcShQivFepRvGJ7xhB,Adriatique,322820,65,"melodic techno, melodic house, techno, afro house",4
4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,282764,71,,0
19YmizwT6Q0C0K3ZlSLInO,Lyudmila Zykina,3877,20,,0
0LyOADBjj28cbvJWTXUEGA,Loren Allred,242267,62,,0
6uvq6FeVsmhOWfJHxVNeBL,Faron Young,108566,42,"honky tonk, traditional country",2
6nfDaffa50mKtEOwR8g4df,GOT7,6656995,68,k-pop,1
4SQdUpG4f7UbkJG3cJ2Iyj,Arca,618040,62,"neoperreo, experimental, art pop, hyperpop",4
1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro,194158,55,"modern blues, southern rock, blues, blues rock",4
3aBpfBHux9vsTqJalh5b5t,Devinho Novaes,487270,56,"arrocha, seresta, brega, forró, piseiro",5
4JNo6Q5KdcRf1vtSX9mB0S,João Gomes,7497907,71,"piseiro, forró, sertanejo, arrocha, brega",5
4wwj0BGZ6T61LB1jBWdo0n,Caspar Babypants,53047,55,children's music,1
11zHPjHnZN0ACA50rSnTcy,Nada Surf,204811,50,power pop,1
68EkPt5iRraARf9QgW093I,The Travelin' McCourys,20978,42,"bluegrass, newgrass",2
1yP1EbAX7oCvKI7j7PxzGg,Yndio,447349,56,grupera,1
1ADdpen72RPuafRcv0YRBf,Antonio Orozco,1443952,65,"flamenco pop, flamenco",2
7oWmtaVcPDShJyXTGiiJH4,Edgardo Donato,6805,29,tango,1
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,385880,56,"power pop, philly soul",2
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,987877,70,"edm, melodic bass, future bass",3
5Jg2XbJHuyzowoTo05FsMv,Poop Emoji,1148,18,,0
5Dl3HXZjG6ZOWT5cV375lk,Yo-Yo Ma,635279,67,"classical, chamber music",2
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,8440963,82,"reggaeton, urbano latino",2
3vYC7LFneIpmJRSgrYy6dc,Alberto Vazquez,306133,58,"mariachi, ranchera",2
20L5MecnuNujUE6imrfK0Q,YORK,28449,55,trance,1
13A5r5f5lWbiFwQK2DiYPh,Nikolay Erdenko,53,1,,0
3hJv5p2HwekJysNB2NDnEC,André Rieu,1336028,66,"classical, orchestra",2
2QiW536ikg1NgIkaCvRg8s,Christian Lindquist,1579,44,,0
