artist_id,artist_name,followers,popularity,genres,num_genres,log_followers,faixa_popularidade_nomeada,popularity_scaled,log_followers_scaled,num_genres_scaled
7cNNNhdJDrt3vgQjwSavNf,Memphis May Fire,916178,64,"metalcore, post-hardcore, screamo, metal",4,13.727967039412436,Promissores,0.625,0.5762838857880739,0.3333333333333333
6qO6LhD6FuXK5e2PtfAIMz,We Came As Romans,908011,63,"metalcore, post-hardcore, screamo, metal",4,13.719012873355133,Promissores,0.6145833333333334,0.575525525269005,0.3333333333333333
0V2oXYR7DtrZAEFeILRW2r,Lvbel C5,3857190,74,"turkish hip hop, drill, turkish pop",3,15.165449756316878,Mainstream Regional,0.7291666666666666,0.6980294657078394,0.25
6dYjED5eEVQa9RdtR0KAM4,Winifred Atwell,6035,25,"ragtime, boogie-woogie, honky tonk",3,8.70549681988774,Descobertas Locais,0.21874999999999997,0.15091282405973083,0.25
1OPqAyxsQc8mcRmoNBAnVk,Dhvani Bhanushali,5930425,66,"hindi pop, bollywood, desi pop, desi",4,15.595606606504973,Mainstream Regional,0.6458333333333334,0.7344609960259116,0.3333333333333333
1UDjGxtS0sJPWn9Oc3M0Fn,Wheels on the Bus,31101,52,,0,10.345027404781282,Descobertas Locais,0.49999999999999994,0.2897705644045321,0.0
3tsk4jo72o6tDjCGaMJUGF,Charlie Walker,9545,32,"honky tonk, traditional country",2,9.163877497565842,Descobertas Locais,0.29166666666666663,0.18973473180976697,0.16666666666666666
56SjZARoEvag3RoKWIb16j,B Praak,12941074,74,"hindi pop, desi pop, bollywood, punjabi pop",4,16.375916919320588,Emergentes Globais,0.7291666666666666,0.8005482821086882,0.3333333333333333
6lyMYewq2SuTFIXgiv7OxH,Inhaler,473168,63,,0,13.067207897528737,Artistas de Nicho,0.6145833333333334,0.5203218182307323,0.0
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6279017,77,moombahton,1,15.652724156790656,Mainstream Regional,0.7604166666666666,0.7392984867319576,0.08333333333333333
3vDpQbGnzRbRVirXlfQagB,Sturgill Simpson,972535,67,"alt country, bluegrass, americana, red dirt, country, newgrass",6,13.787662371784448,Promissores,0.65625,0.5813396981277061,0.5
4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums,980036,69,,0,13.79534560503609,Promissores,0.6770833333333334,0.581990418777687,0.0
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,7993436,86,"corrido, corridos bélicos, corridos tumbados, electro corridos, banda, sad sierreño, sierreño, música mexicana",8,15.894131387952385,Mainstream Regional,0.8541666666666666,0.7597441331449457,0.6666666666666666
5obQFNrkFoWB51hm1JTHMw,Jamie Principle,7814,39,"chicago house, acid house, hip house",3,8.963800242855577,Descobertas Locais,0.3645833333333333,0.17278946970886955,0.25
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,3315449,79,"reggaeton, urbano latino, trap latino, argentine trap",4,15.014103918995698,Mainstream Regional,0.78125,0.685211442564724,0.3333333333333333
5wjqj2G2fuFozdSa90LZUg,Re-Con,9002,36,"happy hardcore, hardstyle, hardcore, hardcore techno",4,9.105313134108476,Descobertas Locais,0.3333333333333333,0.1847747052940375,0.3333333333333333
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,1986222,66,,0,14.501745403285668,Mainstream Regional,0.6458333333333334,0.6418179576285885,0.0
72hqBMsw7x5jnfxxwkii8L,Leftfield,235246,49,"big beat, trip hop, downtempo",3,12.36839130497524,Artistas de Nicho,0.46874999999999994,0.4611365283364708,0.25
0pWR7TsFhvSCnbmHDjWgrE,Creepy Nuts,1848862,74,"anime, j-pop, j-rap",3,14.430081413519236,Mainstream Regional,0.7291666666666666,0.635748476659616,0.25
0mkH5jj3goQ51JtPKVodTo,Mustafa Sandal,1021540,65,"turkish pop, t-pop",2,13.836822829487696,Mainstream Regional,0.6354166666666666,0.5855032740523558,0.16666666666666666
4lhUHpVOXmkEBGGHV71QCh,Chance Peña,500024,73,,0,13.12241337615437,Promissores,0.71875,0.5249973687128273,0.0
0rZp7G3gIH6WkyeXbrZnGi,Novo Amor,1308728,74,,0,14.084566995192876,Mainstream Regional,0.7291666666666666,0.6064856182369647,0.0
7yQrcdkLdBAkV7yY9fF2Hw,Grupo Revelação,2040184,72,"pagode, samba",2,14.528551047983157,Mainstream Regional,0.7083333333333334,0.6440882240606238,0.16666666666666666
7MlyHuGRHi31yYlrttDqgT,The Distillers,384180,53,"punk, skate punk, ska punk",3,12.858869074684051,Artistas de Nicho,0.5104166666666666,0.5026768542191657,0.25
5LmwELEKyxDFxrbZzR8K4U,Lalo Rodriguez,330636,60,"salsa, salsa romantica, merengue",3,12.708776375832088,Artistas de Nicho,0.5833333333333334,0.4899649638788037,0.25
6DoH7ywD5BcQvjloe9OcIj,Ray LaMontagne,1079824,66,,0,13.892309548933946,Mainstream Regional,0.6458333333333334,0.5902026438307808,0.0
77ZUbcdoU5KCPHNUl8bgQy,João Gilberto,673340,65,"bossa nova, brazilian jazz, samba, latin jazz, cool jazz, jazz, mpb",7,13.420007166783071,Promissores,0.6354166666666666,0.5502016568719459,0.5833333333333333
0a1SidMjD8D6EHvJph4n2H,Ruger,4011908,71,"afrobeats, afrobeat, afropop, afropiano, afroswing, afro soul",6,15.204777745852587,Mainstream Regional,0.6979166666666666,0.7013602945496735,0.5
2JW9UTb6ViFLYf7VQxBJqD,Galaxy 2 Galaxy,18956,27,"acid house, chicago house",2,9.849928535441565,Descobertas Locais,0.23958333333333334,0.24783886097843033,0.16666666666666666
72Jq4Qx7m1XizJTU5jv9Wj,Armut,16850,48,,0,9.732165281200542,Descobertas Locais,0.4583333333333333,0.23786506754619585,0.0
20L5MecnuNujUE6imrfK0Q,YORK,28449,55,trance,1,10.255903439554476,Descobertas Locais,0.53125,0.28222233533458374,0.08333333333333333
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,929194,72,,0,13.742073898891034,Promissores,0.7083333333333334,0.5774786464400607,0.0
3vGWwim5gZ0QIW6PA5ISDU,Carlos Di Sarli y su Orquesta Típica,8898,32,tango,1,9.093694189856862,Descobertas Locais,0.29166666666666663,0.18379065512819315,0.08333333333333333
14CHVeJGrR5xgUGQFV5BVM,Fivio Foreign,1419470,66,"brooklyn drill, new york drill, drill, uk drill",4,14.165794824957695,Mainstream Regional,0.6458333333333334,0.6133650952032252,0.3333333333333333
3mZnhzeAyjpFhO3cIepzBr,Tuneboy,40765,59,"hardstyle, hard techno, frenchcore",3,10.615603679643675,Descobertas Locais,0.5729166666666666,0.3126866420089919,0.25
14SgKNlOCKAI0PfRD1HnWh,Lordi,276141,51,metal,1,12.528670505146891,Artistas de Nicho,0.4895833333333333,0.4747111501002683,0.08333333333333333
0rFHElzeddB9ymDjgpBENX,Lamp,1385266,65,"shibuya-kei, japanese indie, city pop",3,14.141403458807336,Mainstream Regional,0.6354166666666666,0.6112993027021469,0.25
6PH3FLQAxtqYy46Zv08bpV,Ivan Cornejo,4187231,80,"sad sierreño, corridos tumbados, corrido, música mexicana, sierreño",5,15.24755045306737,Mainstream Regional,0.7916666666666666,0.7049828689176048,0.41666666666666663
3ONGmday8YN8AkbsRk01iL,Lojay,674743,65,"afrobeats, afrobeat, afropop, alté, afropiano, amapiano",6,13.422088638658426,Promissores,0.6354166666666666,0.5503779442092278,0.5
61ipISvUVa5LkJlKZnm3Oo,Alle Farben,362647,64,,0,12.801187945817023,Artistas de Nicho,0.625,0.49779163201665777,0.0
7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,74930,66,musicals,1,11.224322969058706,Nova Cena,0.6458333333333334,0.3642412673458243,0.08333333333333333
04L8hbMJRQ5vFnLeDgA8xn,Die Apokalyptischen Reiter,76497,41,"medieval metal, folk metal, medieval, metal",4,11.245019875682022,Nova Cena,0.38541666666666663,0.36599416278572705,0.3333333333333333
4LX0KCPnH7gvxEbVXqXmAE,Molly Tuttle,102615,48,"bluegrass, newgrass, americana",3,11.538749144979686,Artistas de Nicho,0.4583333333333333,0.3908711507380144,0.25
6wxfx1yhyqjCPYwwxJktR2,King Gnu,3849050,71,"j-pop, anime, j-rock",3,15.163337182372956,Mainstream Regional,0.6979166666666666,0.6978505442245397,0.25
6fOMl44jA4Sp5b9PpYCkzz,NF,10809266,80,christian hip hop,1,16.195914379730784,Emergentes Globais,0.7916666666666666,0.7853032198121597,0.08333333333333333
1QQ0zBYrjIUnXvHf5iiV5H,TX2,294680,56,"emo, emo pop",2,12.593648694302598,Artistas de Nicho,0.5416666666666666,0.4802143865759967,0.16666666666666666
0CEFCo8288kQU7mJi25s6E,Hollywood Undead,2470722,70,"rap rock, rap metal",2,14.720021378322807,Mainstream Regional,0.6875,0.660304534789443,0.16666666666666666
6NUhQz7eAEsZvjEHTKHux9,Sir Neville Marriner,34048,66,"classical, orchestra",2,10.435555942570769,Descobertas Locais,0.6458333333333334,0.297437751775107,0.16666666666666666
03qM4LmPCrR7CuHTE0WAIW,Koryn Hawthorne,229628,51,"gospel r&b, gospel, worship, christian",4,12.344220242071748,Artistas de Nicho,0.4895833333333333,0.4590893941094938,0.3333333333333333
7Gh6fW49xfXLP8DTWaLVJP,Kyary Pamyu Pamyu,503771,52,"j-pop, shibuya-kei",2,13.129879063745992,Promissores,0.49999999999999994,0.5256296646386518,0.16666666666666666
1x7Y5zQOvhROVPgy73689r,Tá Na Mente,520679,60,"pagode, samba",2,13.162890928580397,Promissores,0.5833333333333334,0.5284255581692205,0.16666666666666666
4rvJA6PKInIg35XkH4HESw,Jürgen Drews,182202,51,"schlager, schlagerparty, neue deutsche welle",3,12.112876729095055,Artistas de Nicho,0.4895833333333333,0.4394960801747876,0.25
1wiBLzTI7z9RUwEpNPdFT6,Mase,886875,65,,0,13.695460454450425,Promissores,0.6354166666666666,0.5735307862266867,0.0
72578usTM6Cj5qWsi471Nc,Raghu Dixit,1123165,61,"kannada pop, sandalwood, tollywood",3,13.931662041140248,Mainstream Regional,0.59375,0.5935355478918893,0.25
3vbKDsSS70ZX9D2OcvbZmS,Beck,1663705,68,,0,14.324558202060757,Mainstream Regional,0.6666666666666666,0.6268113364610375,0.0
0PMk31f9Log4ixwUUY40p6,Malibu,208367,59,"pagode, brazilian pop",2,12.247061026207485,Artistas de Nicho,0.5729166666666666,0.45086063077144334,0.16666666666666666
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,385880,56,"power pop, philly soul",2,12.86328431076035,Artistas de Nicho,0.5416666666666666,0.503050796437928,0.16666666666666666
0blJzvevdXrp21YeI2vbco,Type O Negative,1508041,66,"gothic metal, doom metal",2,14.226322678621079,Mainstream Regional,0.6458333333333334,0.6184914167644444,0.16666666666666666
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,1752197,65,"southern rock, classic rock, blues rock, country rock",4,14.376381557791538,Mainstream Regional,0.6354166666666666,0.6312004427943776,0.3333333333333333
